Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Care Instructions (product.metafields.custom.care_instructions),Materials (product.metafields.custom.materials),Shipping & Returns (product.metafields.custom.shipping_returns),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / International,Price / International,Compare At Price / International,Status
crossover-bodysuit-alabaster,"Baby Crossover Bodysuit — Organic Egyptian Cotton, Alabaster","<p>A beautifully soft crossover bodysuit designed for easy dressing.</p>

<p>Crafted from 100% organic Egyptian cotton, this bodysuit features a kimono-style wrap front with snap closures along the crossover — no pulling over baby's head. Crotch poppers allow quick nappy changes without fully undressing your baby.</p>

<p>The extra-long staple Egyptian cotton fibres create a smooth, breathable fabric that is naturally gentle on delicate skin. Gets softer with every wash.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Crossover wrap design with snap closures</li>
<li>Crotch poppers for easy nappy changes</li>
<li>Lightweight and breathable</li>
<li>Gentle on sensitive and eczema-prone skin</li>
<li>GOTS certified organic</li>
</ul>

<p>In our signature Alabaster — a warm, natural off-white. A versatile everyday essential from newborn through to 6 months.</p>",Caico Cotton,Uncategorized,Baby & Toddler,"baby, bodysuit, crossover, newborn, Newborn Essentials, organic egyptian cotton, wrap",true,Size,NB,,Color,Alabaster,,,,,WRAP-ALA-NB50,0.0,shopify,20,deny,manual,19.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/GeneratedImageApril03_2026-12_37PM_1_2c34880e-9dc9-4f48-a9c6-9fb7942aac76.jpg?v=1775322333,1,"",false,Baby Crossover Bodysuit Alabaster — Organic Egyptian Cotton | Caico Cotton,"Organic Egyptian cotton baby crossover bodysuit in Alabaster. Snap-front wrap design. GOTS certified, hypoallergenic. Free UK delivery over £50.",,,,,,,,,,,,,,,,,kg,,,true,,,active
crossover-bodysuit-alabaster,,,,,,,,,1-3M,,,Alabaster,,,,,WRAP-ALA-03M,0.0,shopify,6,deny,manual,19.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
crossover-bodysuit-alabaster,,,,,,,,,3-6M,,,Alabaster,,,,,WRAP-ALA-36M,0.0,shopify,22,deny,manual,19.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
footie-cotton-bloom-alabaster,"Newborn Footed Romper — Organic Egyptian Cotton, Alabaster Cotton Bloom","<p>Cosy from head to toe.</p>

<p>This footed romper is crafted from 100% organic Egyptian cotton in our Cotton Bloom print. The enclosed feet keep tiny toes warm, while the soft fabric sits gently against delicate skin. Snap closures make dressing and nappy changes simple.</p>

<p>Extra-long staple Egyptian cotton fibres create an exceptionally soft, breathable fabric that gets better with every wash. GOTS certified organic and produced in a Fairtrade factory.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Cotton Bloom print</li>
<li>Enclosed feet for warmth</li>
<li>Snap closures for easy changes</li>
<li>Soft and breathable</li>
<li>GOTS certified organic</li>
</ul>

<p>In Alabaster Cotton Bloom. A newborn essential for cooler days.</p>",Caico Cotton,Uncategorized,Baby & Toddler,"cotton bloom, footie, newborn, Newborn Essentials, organic egyptian cotton",false,Size,NB-3M,,,,,,,,FOOTIE-ALA-NB-3M,0.0,shopify,4,deny,manual,22.00,,true,true,,,,,,,,,false,Newborn Footed Romper Alabaster Cotton Bloom — Organic Egyptian Cotton | Caico Cotton,"Organic Egyptian cotton newborn footed romper in Alabaster Cotton Bloom. Keeps toes warm. GOTS certified, hypoallergenic. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton

Our fabric is woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the banks of the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

Unlike bamboo viscose blends which undergo chemical processing, our cotton is 100% natural at every stage — from field to finished garment.

Fasteners: YKK nickel-free snaps
Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,,kg,,,true,,,draft
muslin-dress,"Kids Muslin Dress — Organic Egyptian Cotton, Grey","<p>Exceptionally soft. Rare by nature.</p>

<p>This muslin dress is crafted from 100% organic Egyptian cotton — light, airy and beautifully soft from the very first wear. The bodice features a delicate floral print with charming ruffle straps, flowing into a gathered solid sage muslin skirt that moves beautifully.</p>

<p>The lightweight muslin weave allows air to circulate naturally, keeping little ones cool and comfortable on warm days. Egyptian cotton's extra-long fibres ensure the dress only gets softer over time — a piece that can be worn, loved and passed on.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton Muslin</li>
<li>Floral print bodice with ruffle straps</li>
<li>Flowing gathered skirt</li>
<li>Lightweight and breathable</li>
<li>Gets softer with every wash</li>
<li>GOTS certified organic</li>
</ul>

<p>In Sage with floral detail. A beautiful dress for everyday wear, special occasions and gifts.</p>",Caico Cotton,Uncategorized,Baby & Toddler,"children, dress, kids, muslin, organic egyptian cotton",true,Size,2-3Y,,,,,,,,MD-GRAY-2-3Y,0.0,shopify,12,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/bekya10_make_the_girl_dancing_2_86f52fa5-3e8a-48b8-9a40-d9a322188bcc.jpg?v=1774263320,1,"",false,Kids Muslin Dress Grey — Organic Egyptian Cotton | Caico Cotton,"Lightweight organic Egyptian cotton muslin dress in Grey. GOTS certified, hypoallergenic. Perfect for warm days and special occasions. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton muslin

Lightweight muslin woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

100% natural at every stage — no chemical processing, no blends.

Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,,kg,,166.00,true,,,active
muslin-dress,,,,,,,,,3-4Y,,,,,,,,MD-GRAY-3-4Y,0.0,shopify,18,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC00360S.jpg?v=1774263320,2,"Kids muslin dress in grey organic Egyptian cotton, front view",,,,,,,,,,,,,,,,,,,,kg,,166.00,,,,
muslin-dress,,,,,,,,,4-5Y,,,,,,,,MD-GRAY-4-5Y,0.0,shopify,17,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC00370S.jpg?v=1774263320,3,"Kids muslin dress in grey organic Egyptian cotton, detail view",,,,,,,,,,,,,,,,,,,,kg,,166.00,,,,
muslin-dress,,,,,,,,,5-6Y,,,,,,,,MD-GRAY-5-6Y,0.0,shopify,21,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/bekya10_Remove_the_wooden_doors_at_the_back_in_this_image_f892781e-53e3-4f38-8198-0ccc415e5efe.jpg?v=1774263921,4,"",,,,,,,,,,,,,,,,,,,,kg,,166.00,,,,
muslin-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/bekya10_make_the_girl_dancing_26d5113a-3d23-4917-9dca-eceb6be6de7b.jpg?v=1774263921,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,
muslin-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/bekya10_make_the_girl_dancing_8de0373e-5259-4bcf-86eb-a35496cac876.jpg?v=1774263921,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,
short-sleeve-baby-bodysuit-sage-with-cotton-bloom,"Baby Short Sleeve Bodysuit — Organic Egyptian Cotton, Sage Cotton Bloom","<p>A beautifully soft everyday essential in our signature Cotton Bloom print.</p>

<p>This short sleeve bodysuit is crafted from 100% organic Egyptian cotton with a delicate all-over Cotton Bloom motif. Shoulder snap closures allow easy dressing, while crotch poppers make nappy changes quick and simple.</p>

<p>The relaxed fit allows natural movement throughout the day. Extra-long staple Egyptian cotton fibres create a smooth, gentle fabric that gets softer with every wash.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Beautiful Cotton Bloom all-over print</li>
<li>Shoulder snaps for easy dressing</li>
<li>Crotch poppers for quick nappy changes</li>
<li>Lightweight and breathable</li>
<li>Gentle on sensitive skin</li>
<li>GOTS certified organic</li>
</ul>

<p>In our Sage Cotton Bloom. Perfect for everyday wear and a lovely gift.</p>",Caico Cotton,Uncategorized,Baby & Toddler,"baby, Baby Clothes, bodysuit, cotton bloom, organic egyptian cotton",true,Size,3-6M,,,,,,,,BBSS-SAGE-3-6M,0.0,shopify,25,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07706_85da58f8-a428-4d05-85ac-08f9d6ac922f.jpg?v=1687128165,1,"Baby short sleeve bodysuit in sage cotton bloom organic Egyptian cotton, front view",false,Baby Short Sleeve Bodysuit Sage Cotton Bloom — Organic Egyptian Cotton | Caico Cotton,"Organic Egyptian cotton short sleeve bodysuit in Sage Cotton Bloom. GOTS certified, hypoallergenic. Sizes 3-18M. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton

Our fabric is woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the banks of the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

Unlike bamboo viscose blends which undergo chemical processing, our cotton is 100% natural at every stage — from field to finished garment.

Fasteners: YKK nickel-free snaps
Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,,kg,,91.25,true,,,active
short-sleeve-baby-bodysuit-sage-with-cotton-bloom,,,,,,,,,6-9M,,,,,,,,BBSS-SAGE-6-9MO,0.0,shopify,22,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07716_66e09780-a8f6-4374-972d-58ded8895add.jpg?v=1687128179,2,"Baby short sleeve bodysuit in sage cotton bloom organic Egyptian cotton, back view",,,,,,,,,,,,,,,,,,,,kg,,91.25,,,,
short-sleeve-baby-bodysuit-sage-with-cotton-bloom,,,,,,,,,9-12M,,,,,,,,BBSS-SAGE-9-12M,0.0,shopify,24,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07717_59f4e830-28a7-4bd4-ab5b-c0e2a03fcc4c.jpg?v=1687128192,3,"Baby short sleeve bodysuit in sage cotton bloom organic Egyptian cotton, detail view",,,,,,,,,,,,,,,,,,,,kg,,91.25,,,,
short-sleeve-baby-bodysuit-sage-with-cotton-bloom,,,,,,,,,12-18M,,,,,,,,BBSS-SAGE-12-18M,0.0,shopify,25,deny,manual,17.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,91.25,,,,
